Keyword,Intent,Volume,KD,CPC,类型,备注
evc spirax sarco,,20,,0.00,product,
spirax sarco evc,,20,,0.00,,斯派莎克 EVC
condensate cooler spirax sarco,,20,,0,category,
spirax sarco condensate cooler,,20,,0,category,
spirax sarco condensing vessel,,0,,0.00,,
spirax sarco steam condensing vessels,,0,,0.00,,
